Subj,Subjnr,Prec,Weekly,Mode,P,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,LAKW,AUC.G,AUC.L,Alpha.G,Alpha.L,Gamma.G,Gamma.L,DWG10,DWG30,DWG50,DWG70,DWG90,DWL10,DWL30,DWL50,DWL70,DWL90,SSL4,SSL3,SSL2,SSL1,RP,SSG1,SSG2,SSG3,SSG4,PBSG10,PBSG30,PBSG50,PBSG70,PBSG90,PBSL10,PBSL30,PBSL50,PBSL70,PBSL90,BDG05,BDG510,BDL05,BDL510,D5G,RG,BetaG,D5L,RL,BetaL,Age,Gender,Weight,Height,Cigarettes,Alcohol,Exercise,BMI,TSCs,CRTs,PQNs,PQEs,PQPs,PQLs
146,146,2,1,3,100,0,0,0,0,0,0,0,0,0,200,0.980392156862745,0.589765100671141,0.709143518518519,0.691724994138163,0.342671014919648,0.661297584430685,0.808178719728907,0.13,0.2,0.636111111111111,0.5,0.716666666666667,0.0882352941176471,0.60838445807771,0.724437627811861,0.701431492842536,0.712678936605317,-1080,-590,-101,-25.5,0,25,50,95,149,13,20,74.5,50,89,-9,-313,-540,-495,-517,19.95,37.3,-117.12,-270,0.898742274071194,0.112666032131904,0.348959276976914,0.95860284488395,0.0431848865638009,0.731863768123363,20,Male,69,195,0,10,3,18.1459566074951,2.75,0,0.5,0.333333333333333,0.166666666666667,0.5
147,147,1,2,3,60,10,10,10,10,10,10,10,10,10,10,2.87769784172662,0.493014705882353,0.47998046875,1.04438468920481,1.08449252394158,0.902246204539776,2.95942960097838,0.25,0.589928057553957,0.652877697841727,0.829842931937173,0.914921465968586,0.0899280575539568,0.232014388489209,0.366279069767442,0.294573643410853,0.818181818181818,-51.2,-40.2,-26.8,-13.9,0,40,70,97.8,136,40,80,87,110,123,-5,-12.9,-19.9,-16.2,-43.2,59.5,63.9,-25.6,-34.6,0.985444464562895,0.0147705283864592,0.866054157847064,1.06249080611124,-0.0588153852737425,0.941184614726258,19,Male,70,186,0,0,1,20.2335530119089,2.91666666666667,3,,,,
148,148,1,1,3,31,0,0,0,0,0,0,0,0,0,100,1.89873417721519,0.377777777777778,0.513141025641026,1.5339808080577,0.792699835876969,0.777918002076728,3.33080214258644,0.535315985130111,0.453619909502262,0.71003717472119,0.740706319702602,,0.158227848101266,0.304249547920434,0.359403254972875,0.471518987341772,0.354882459312839,-156,-138.9,-71.1,-15.8,0,30,52.1,79,81,55.9,48,74.7,78,82,-10,-27.8,-40,-64.8,-39,21.5,17.45,-26.8,-26.8,0.830175227858002,0.204564971879703,0.585223973812516,0.893800607125494,0.118817767663023,0.6382084959402,19,Male,84,190,0,3,5,23.2686980609418,3.41666666666667,3,0.666666666666667,0.5,0.333333333333333,0.333333333333333
149,149,2,1,3,80,0,0,0,0,0,0,0,0,0,200,0.869426751592357,0.45798755186722,0.588700234192038,1.20738090833922,0.706544175650833,2.41658921740969,0.932793806634569,0.0641025641025641,0.142857142857143,0.272058823529412,0.527322404371585,0.893939393939394,0.334494773519164,0.352787456445993,0.659090909090909,0.814092953523238,0.937781109445277,-170.8,-104.1,-60.1,-31.4,0,27.3,37.5,55.8,72.3,7,15.6,28.2,39.5,65.3,-41.1,-43.2,-88.1,-121.2,-154.2,35,35,-88.1,-88.1,0.987623943433453,0.0125311426974131,0.951407215447963,1.00472131506555,-0.00469912899702385,1.01901942662264,19,Male,79,191,5,17,2,21.6551081384831,3,0,0.666666666666667,0.666666666666667,0.333333333333333,0.5
150,150,2,2,5,20,40,36,31,27,22,18,13,9,4,0,1,0.5,0.5,1,1,1,1,0.1,0.3,0.5,0.7,0.9,0.1,0.3,0.5,0.7,0.9,-100,-75,-50,-25,0,25,50,75,100,10,30,50,70,90,-10,-30,-50,-70,-90,46.9,46.9,-46.9,-46.9,0.987280519153452,0.0128833503748802,0.950084582651638,0.987280519153452,0.0128833503748802,0.950084582651638,19,Male,73,181,0,1,0,22.2825921064681,3.08333333333333,3,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667
153,153,2,1,3,40,0,0,0,0,0,0,0,0,0,200,1.42857142857143,0.65581305023304,0.432731434384537,0.535332386174157,1.37781881122257,0.843093111670429,3.38473407343231,0.784751585623679,0.736635220125786,0.882135306553911,0.937764270613108,0.963266384778013,0.1125,0.140178571428571,0.223214285714286,0.249107142857143,0.952868852459016,-98.3,-73.9,-72,-28,0,40,101.6,197,386.2,223.3,191.9,297,339.1,358.4,-12.6,-15.7,-25,-27.9,-93.7,162.9,126.7,-35.3,-47.6,0.947781773887331,0.0550951997087854,0.942222812067251,0.995195810567394,0.00482738108580594,0.791214806595577,19,Male,74,186,0,4,4,21.3897560411608,2.83333333333333,2,0.666666666666667,0.5,0.333333333333333,0.166666666666667
154,154,2,1,3,100,0,0,0,0,0,0,0,0,0,200,3.07142857142857,0.421818181818182,0.54014598540146,1.43789857802212,0.855383770027939,2.03615526405983,2.46397143475176,0.116279069767442,0.174418604651163,0.25,0.794776119402985,0.67,0.178571428571429,0.442307692307692,0.214285714285714,0.474358974358974,0.779069767441861,-27.4,-18.8,-10.9,-7,0,21.5,36.6,41.6,55,10,15,21.5,44,40,-5,-10,-6,-10.5,-19.8,27.5,25.92,-12,-13.7,0.984553842796278,0.0156884839937779,1.01568848399378,1,0,0.908602150537634,25,Female,72,178,0,0,4,22.7244034844085,2.91666666666667,1,0.666666666666667,0.166666666666667,0.5,0.5
155,155,1,1,3,100,0,0,0,0,0,0,0,0,0,100,3.125,0.176724137931034,0.576219512195122,11.744166742167,0.672072020751172,16.0693134235623,0.736325465555377,0.19,0.1,0.19,0.19,0.19,0.386363636363636,0.675,0.508333333333333,0.863636363636364,0.658333333333333,-82,-60,-30,-8,0,25,27.5,28.5,29,19,10,19,19,19,-20,-51,-31,-70,-49,14.5,14.5,-38,-38,1,0,1,0.991402735298801,0.00867181862132771,0.966051882623243,23,Male,80,193,8,25,3,21.4770866331982,2,3,0.833333333333333,0.833333333333333,0.5,0.333333333333333
156,156,2,1,3,50,0,0,0,0,0,0,0,0,0,200,1.05,0.680538237738986,0.637350299401198,0.463547764410414,0.596688213228177,0.843275673091862,0.604766326434346,0.212797619047619,0.599771391247551,0.799402475458813,0.742161985630307,0.789799402475459,0.765196078431372,0.282918149466192,0.494661921708185,0.472419928825623,0.826470588235294,-200.4,-98.4,-60.1,-32,0,33.6,93.8,246.9,481.2,28.6,154.9,293.2,242.1,284.2,-104.6,-35.7,-59.5,-57,-129.6,188,188,-59.5,-59.5,0.975616582445324,0.0249928281185634,0.905976000835922,0.919051833048551,0.0880779125187525,0.713444217541588,18,Male,70,183,0,10,3,20.9023858580429,2.33333333333333,1,,,,
157,157,1,2,3,100,10,10,10,10,10,10,10,10,10,10,5.35714285714286,0.331164383561644,0.589285714285714,2.37380919517502,0.726377465105542,4.84466508623723,0.829616858227149,0.212666666666667,0.128,0.206666666666667,0.338315217391304,0.466032608695652,0.425,0.366666666666667,0.771153846153846,0.735,0.846153846153846,-28,-15,-10,-7,0,37.5,55.9,65.4,73,31.9,19.2,31,44,53.4,-9.1,-8.4,-16.1,-14.7,-20,36.3,36.3,-13.5,-14.5,0.998901699710212,0.00109950787961033,0.995614031124106,1.00704294969331,-0.00699369346208634,0.957541795590131,19,Male,79,190,0,7,3,21.8836565096953,3.5,3,0.833333333333333,0,0,0.5
