Subj,Subjnr,Prec,Weekly,Mode,P,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,LAKW,AUC.G,AUC.L,Alpha.G,Alpha.L,Gamma.G,Gamma.L,DWG10,DWG30,DWG50,DWG70,DWG90,DWL10,DWL30,DWL50,DWL70,DWL90,SSL4,SSL3,SSL2,SSL1,RP,SSG1,SSG2,SSG3,SSG4,PBSG10,PBSG30,PBSG50,PBSG70,PBSG90,PBSL10,PBSL30,PBSL50,PBSL70,PBSL90,BDG05,BDG510,BDL05,BDL510,D5G,RG,BetaG,D5L,RL,BetaL,Age,Gender,Weight,Height,Cigarettes,Alcohol,Exercise,BMI,TSCs,CRTs,PQNs,PQEs,PQPs,PQLs
172,172,2,2,2,100,10,12,14,17,19,21,23,26,28,30,1.96319018404908,0.626665657177468,0.285,0.625429510648118,2.06622975139766,0.754271413506546,4.21430221977441,0.390625,0.506944444444444,0.722222222222222,0.548611111111111,0.876387176325524,0.153374233128834,0.184049079754601,0.199386503067485,0.214723926380368,0.75,-29,-30,-21,-16.3,0,32,48,84,165.1,41,49,80,55,125,-10,-12,-13,-14,-25,19.06,96.45,-17.1,-21.97,1.01276519300837,-0.012604296727903,0.198707014241313,1.19499409545839,-0.16317578153689,1.06413178986125,20,Male,96,199,2,35,4,24.2418120754526,2.66666666666667,,,,,
174,174,1,2,1,66,0,2,4,7,9,11,13,16,18,20,1.50837988826816,0.512610619469027,0.465197693574959,0.948005867239555,1.14243508552141,0.789119897029765,2.59946770632831,0.185185185185185,0.604452054794521,0.698630136986301,0.655821917808219,0.776666666666667,0.145251396648045,0.26978417266187,0.345323741007194,0.366906474820144,0.846330275229358,-60.7,-49.8,-31.8,-17.9,0,27,53.8,83,113,20,66,77,72,86.2,-10.4,-19,-23.2,-24.4,-54,55.73,55.73,-30.4,-30.3,0.997466739388993,0.00253969431858869,0.989905397025212,0.999620204979665,0.00037993931939706,1.0022781934737,18,Male,64,184,0,1,1,18.9035916824197,,,,,,
177,177,2,2,4,80,30,28,26,23,21,19,17,14,12,10,0.869565217391304,0.450396825396825,0.494318181818182,1.26303700873165,1.02770073502895,0.734932596793498,0.581619724556705,0.25,0.473684210526316,0.5,0.527777777777778,0.9,0.0434782608695652,0.261363636363636,0.535714285714286,0.535714285714286,0.583333333333333,-88,-66,-45,-23,0,20,39,48,63,20,37,39,40,57,-4,-24,-48,-48,-52,62,62,-34.4,-34.4,1.19630771314112,-0.164094664762861,2.04819646076685,0.950726506337058,0.0518272009189924,0.817000663039403,18,Male,75,177,0,0,4,23.9394809920521,4,3,1,0.166666666666667,0.666666666666667,0
178,178,2,2,2,100,10,12,14,17,19,21,23,26,28,30,1.625,0.539516129032258,0.423507462686567,0.867663209026721,1.43447886776352,0.692744988253435,2.7378071301375,0.102564102564103,0.308333333333333,0.75,0.741935483870968,0.475,0.15625,0.2625,0.2625,0.5,0.666666666666667,-67,-53,-44,-24,0,39,69,100,155,16,46,100,99,66,-15,-25,-25,-44,-50,80.92,75.1,-30,-33.45,0.9930968377167,0.00695114718034118,1.05579899006483,0.999660786896143,0.000339328208431633,0.881655001132855,19,Female,64,172,2,7,3,21.6333153055706,2.58333333333333,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333
179,179,2,1,3,100,0,0,0,0,0,0,0,0,0,200,3,0.565,0.453571428571429,0.776780493225248,1.24259672582259,0.871038464884335,3.63103622187519,0.142857142857143,0.238095238095238,0.54,0.63,0.868055555555556,0.107142857142857,0.142857142857143,0.25,0.214285714285714,0.885,-17.5,-12.5,-10,-7,0,21,39,64,100,12,20,43,52,81,-3,-4,-7,-6,-15.2,49.44,40,-8.6,-8.6,0.964823933819754,0.0364585339845203,1.02694350482007,0.993602886305502,0.00643830023308833,0.974656038120464,20,Male,80,188,0,3,5,22.6346763241286,2.66666666666667,1,,,,
180,180,2,2,3,100,20,20,20,20,20,20,20,20,20,20,1,0.5,0.5,1,1,0.971404836953916,1,0.1,0.3,0.5,0.7,0.88,0.1,0.3,0.5,0.7,0.9,-100,-75,-50,-25,0,25,50,75,100,10,30,50,70,88,-10,-30,-50,-70,-90,50.56,49.44,-49.44,-49.44,0.997749896830212,0.00225517755194571,1.01348043554053,0.997749896830212,0.00225517755194571,0.991029919563364,18,Male,72,177,0,14,2,22.98190175237,3.41666666666667,3,0.666666666666667,0.5,0.333333333333333,0.333333333333333
185,185,2,2,3,70,20,20,20,20,20,20,20,20,20,20,1.92307692307692,0.852716695132365,0.525,0.148803164049336,0.923989045961191,0.797921575865978,0.957903825123298,0.729099157485418,0.765196593162991,0.782274530393186,0.816430404853576,0.918898028234745,0.288461538461538,0.375,0.75,0.857142857142857,0.910714285714286,-30,-16,-13,-13,0,25,51,1594,18736,1465,2636,3807,6149,13175,-10,-13,-16,-22,-25,7905.25,9076.25,-11.66,-10.72,0.999012409363089,0.000988566936361623,0.976255525951798,0.868721433351409,0.151116988264163,0.619478034607391,19,Male,74,177,0,5,6,23.6202879121581,3.41666666666667,,0.666666666666667,0.333333333333333,0.5,0.5
186,186,2,2,2,50,10,12,14,17,19,21,23,26,28,30,4.8,0.480367793240557,0.3859375,1.10694741330804,1.71891286591611,0.685076379114125,2.29373535166692,0.426470588235294,0.751700680272109,0.450980392156863,0.490196078431373,0.897959183673469,0.0428571428571429,0.142857142857143,0.232142857142857,0.65,0.826923076923077,-16,-13.4,-10.9,-7,0,33.6,54,71.2,100.6,48,71.4,50,53.2,88.6,-1.2,-4,-6.5,-12.4,-14.2,42.8,39.7,-6.8,-7.5,0.93491987614847,0.0696103757250688,0.853381863112184,0.978703900824001,0.0217594914642412,0.790001799231244,18,Female,54,155,0,1,2,22.4765868886576,2.41666666666667,2,0.5,0.5,0.333333333333333,0.666666666666667
187,187,2,2,1,48,0,4,9,13,18,22,27,31,36,40,3.125,0.452538883806038,0.559315286624204,1.15067009856778,0.777025182673678,2.00843639258493,1.25721442512976,0.0125,0.019375,0.505353319057816,0.665952890792291,0.649892933618844,0.05859375,0.1953125,0.573170731707317,0.825129533678756,0.920984455958549,-62.8,-43.5,-23,-12.8,0,40,49,95.7,109.3,2,3.1,50,80,77,-3,-10,-29,-49.3,-56.7,56.4,56.4,-36.3,-34.3,1.00350885817874,-0.00349658914332418,1.0141094781863,1.01147452240573,-0.0113443513915079,1.08672068257978,17,Female,60,171,0,0,3,20.5191340925413,,,,,,
188,188,1,1,3,80,0,0,0,0,0,0,0,0,0,100,1.54,0.658447857720291,0.554591836734694,0.492406785092267,0.802586771668461,0.833219060844795,0.906735510732768,0.745397159389795,0.748553392951078,0.876893014167074,0.881778212017587,0.957254518808012,0.29,0.35,0.6953125,0.799382716049383,0.860493827160494,-122.5,-82,-50,-25,0,38.5,100,290.1,494.8,286.6,289,394,398,459.8,-29,-35,-75,-90,-99.9,232,232,-25,-29.4,0.994092866710428,0.00594223486294565,0.9765800089022,0.870582953464882,0.148655617503242,0.488464847310349,18,Male,63,176,5,3,3,20.338326446281,1.91666666666667,3,0.833333333333333,0.666666666666667,0.166666666666667,0.6
190,190,2,2,3,100,20,20,20,20,20,20,20,20,20,20,0.776892430278884,0.602578475336323,0.597564102564103,0.652262444968121,0.705641735999894,0.574701355905945,1.05049488556421,0.86547619047619,0.300409836065574,0.759523809523809,0.66726618705036,0.437295081967213,0.23406374501992,0.24601593625498,0.836753731343284,0.868003731343284,0.955690298507463,-97.5,-43.9,-39.2,-25.1,0,19.5,80.5,94.4,178.4,133.2,31.8,97.6,89.8,65.2,-23.5,-24.7,-62.5,-69.2,-88,41.8,58.5,-68.5,-71.6,0.910077589674483,0.0988074108688695,0.571424269850769,1.0261810319999,-0.0255130734085719,1.09067235852732,19,Female,65,169,0,5,3,22.7583067819754,3.16666666666667,0,0.833333333333333,0.5,0.333333333333333,0.5
193,193,2,1,3,100,0,0,0,0,0,0,0,0,0,200,3.67521367521368,0.492438563327032,0.546111111111111,1.0494568402014,0.82571050522419,0.85361451879941,1.0411328143475,0.0616279069767442,0.644012944983819,0.63915857605178,0.73462783171521,0.793689320388349,0.143162393162393,0.348814229249012,0.467391304347826,0.81478102189781,0.931569343065693,-67.5,-40.1,-37,-11.7,0,43,44,74.9,105.8,10.6,61.8,61.2,73,80.3,-6.7,-21.7,-33.7,-47.2,-60,44.6,54.5,-24.3,-22.1,1.00448574220768,-0.00446571018302722,0.878661098791784,0.945082337013312,0.0581088661123861,0.846934023773167,20,Male,74,192,0,1,3,20.0737847222222,3.41666666666667,3,0.5,0.666666666666667,0.5,0.5
194,194,1,1,3,40,0,0,0,0,0,0,0,0,0,100,1,0.512096774193548,0.449052812858783,0.953062289378129,1.18551459240151,1.06139923357836,2.44995473823123,0.22,0.292647058823529,0.485294117647059,0.904,0.907,0.065,0.2625,0.460227272727273,0.485227272727273,0.490909090909091,-87.1,-76.4,-47,-25,0,25,42,68,93,22,27.9,41,83.4,83.7,-6.5,-26.1,-43.5,-45.7,-46.2,46.05,46.95,-32.7,-43.5,1.00158786968029,-0.00158535234736767,0.990462672582833,0.999753269153277,0.000246791737857244,0.732609857327111,19,Male,77,200,0,7,4,19.25,2.41666666666667,3,0.333333333333333,0.666666666666667,0.5,0.833333333333333
195,195,1,2,2,47,5,6,7,8,9,11,12,13,14,15,1.02456140350877,0.601019529006318,0.651910939691445,0.608157124425472,0.541665408351386,0.835095192969336,0.913974311991011,0.266826923076923,0.466346153846154,0.620885579937304,0.650862068965517,0.919593345656192,0.25,0.524264705882353,0.733823529411765,0.800108538350217,0.91931982633864,-285.2,-147,-79,-28.5,0,29.2,112.4,240,348.2,34.8,101.2,174.1,189.4,313.4,-28.5,-85.6,-142.6,-174.7,-240.6,125.7,87,-120.7,-71.3,0.926413434302174,0.0794316694611141,0.914570537236697,0.911565181359788,0.097014256850281,0.97665046814777,19,Male,73,184,0,1,1,21.5619092627599,3.66666666666667,0,0.5,0.166666666666667,0.333333333333333,0.666666666666667
196,196,1,1,3,50,0,0,0,0,0,0,0,0,0,100,1.3696682464455,0.683864129363045,0.599364069952305,0.455661518859244,0.672557395524235,0.874678968266325,0.530660396376626,0.452634880803011,0.518008474576271,0.60204802259887,0.856558972362787,0.952218762164266,0.0604265402843602,0.238151658767773,0.653954802259887,0.904158215010142,0.125592417061611,-125.8,-76.5,-41.1,-21.1,0,28.9,108.6,250.2,507.1,93.5,118.8,166.4,359.7,458,-5.1,-20.1,-62.9,-106.9,-10.6,198.1,150.6,-57,-64.9,0.947145007885307,0.0558045406718692,0.922305405788373,1.00428281201856,-0.00426454776215168,0.932292264676257,20,Female,70,160,0,1,2,27.34375,3,0,0.5,0.5,0.666666666666667,0.5
198,198,1,1,3,75,0,0,0,0,0,0,0,0,0,100,1.47058823529412,0.395833333333333,0.313157894736842,1.63996947853774,2.35464764636504,0.525501107919122,0.790560052318365,0.07,0.178,0.772727272727273,0.40625,0.46875,0.820723684210526,0.751644736842105,0.805921052631579,0.875,0.875,-38,-38,-30.4,-17,0,25,41,49,60,7,17.8,50,35,39,-36.9,-35.5,-36.6,-38,-38,30.1,30.1,-18.9,-18.9,1.00095057205924,-0.00094966933010443,1.0038077131969,0.998697912248604,0.00130378539438847,0.994801812761957,18,Female,67,177,0,20,0,21.3859363528999,4.41666666666667,2,0,0.666666666666667,0.5,1
201,201,2,2,4,100,30,28,26,23,21,19,17,14,12,10,0.933014354066986,0.655317769130999,0.431686046511628,0.548610661324124,1.36551724999594,0.841389455460855,1.26891953006806,0.129487179487179,0.613165680473373,0.570266272189349,0.570266272189349,0.977301387137453,0.0514354066985646,0.0753588516746412,0.765625,0.837053571428571,0.924107142857143,-51.6,-40.4,-30.2,-20.9,0,19.5,41.1,74.9,154.2,10.1,56.4,50.6,50.6,147,-4.3,-6.3,-41.1,-44.3,-48.2,60.2,60.2,-20.2,-20.2,0.967379065628093,0.0337209430418339,0.875763295976892,0.912598892730783,0.09577165605328,0.69361703385056,19,Male,80,184,0,7,4,23.6294896030246,3.08333333333333,0,0.833333333333333,0.5,0.666666666666667,0.666666666666667
202,202,2,2,2,1,10,12,14,17,19,21,23,26,28,30,7.14285714285714,0.613911290322581,0.489189189189189,0.659980174202989,1.04589211375719,0.8812614527362,0.632108929868237,0.796153846153846,0.439024390243902,0.915384615384615,0.944230769230769,1,0.482142857142857,0.5,0.178571428571429,0.4375,1,-37,-29.1,-21,-7,0,50,91,118,248,142,81,204,219,248,-20,-21,-5,-17.5,-37,121.12,121.12,-18.08,-18.5,0.998541204581661,0.00146092661138653,0.994177574417849,1,0,0.983529411764706,17,Male,70,177,0,4,3,22.343515592582,4.08333333333333,3,,,,
203,203,2,1,3,40,0,0,0,0,0,0,0,0,0,200,5.83673469387755,0.51305057096248,0.494318181818182,0.949156274292121,1.02205222405526,2.06847438077422,1.15038761980757,0.192307692307692,0.216783216783217,0.353833865814697,0.543814432989691,0.830357142857143,0.102040816326531,0.168367346938775,0.571428571428571,0.576530612244898,0.904761904761905,-17.6,-13.4,-8.5,-4.9,0,28.6,59.9,89,122.6,22,24.8,41.6,65,99.8,-2,-3.3,-9.9,-10,-16,56.55,59.4,-8.8,-8.8,0.993662266990753,0.00637815605944336,0.930147767450624,1,0,1,20,Male,94,187,0,7,4,26.8809517000772,2.83333333333333,3,0.833333333333333,0.333333333333333,0.333333333333333,0.333333333333333
204,204,1,2,3,100,10,10,10,10,10,10,10,10,10,10,1.46478873239437,0.539676616915423,0.692550180133814,0.855627533585095,0.45136140791876,0.708881237778174,0.857444820196995,0.128605769230769,0.237980769230769,0.401162790697674,0.77416918429003,0.653846153846154,0.272831050228311,0.657490974729242,0.755836575875486,0.806663424124514,0.834143968871595,-194.3,-91.5,-36.1,-14.2,0,20.8,46.6,67.4,100.5,10.7,19.8,36.4,70.6,59.4,-16.2,-71,-93.9,-114.8,-126.1,49.68,49.68,-99.19,-99.19,0.997467872068965,0.0025385558792812,0.989909893407432,1.00129579366855,-0.00129411676024793,1.00519325786739,18,Female,51,162,0,16,3,19.4330132601738,3.5,1,0,0.666666666666667,0.333333333333333,0.666666666666667
209,209,1,1,3,100,0,0,0,0,0,0,0,0,0,100,8.4,0.56875,0.666304347826087,0.729104462612693,0.525758554651119,0.766095759467599,0.873497823233726,0.142857142857143,0.403225806451613,0.596774193548387,0.596774193548387,0.795180722891566,0.34375,0.78515625,0.775390625,0.873046875,0.90234375,-23,-10.2,-6.5,-2.5,0,21,52,98.5,140,12,40,70,70,106,-4,-12,-11.5,-16.5,-18,68.81,68.81,-11.6,-11.6,0.997846601555798,0.00215804557618826,0.991414189051542,1.00050327151809,-0.000503018363270824,1.00201460627561,18,Male,75,186,0,7,2,21.6788067984738,3.83333333333333,3,0.5,0.666666666666667,0.333333333333333,0.333333333333333
210,210,2,1,3,80,0,0,0,0,0,0,0,0,0,200,1.04347826086957,0.605538922155689,0.543269230769231,0.652018097789229,0.795434733789275,2.78134108528257,0.715800860081905,0.125,0.296875,0.4765625,0.359375,0.551136363636364,0.0869565217391304,0.538461538461538,0.504807692307692,0.706730769230769,0.644230769230769,-156,-118,-66,-23,0,24,56,100,167,12,30,53,38,65,-8,-74,-67,-109,-96,85.4,31.5,-68,-29.9,0.859930914113776,0.162884114976348,1.18201381037423,0.877476489062518,0.139631673856452,1.04138756404124,19,Male,75,192,0,0,6,20.3450520833333,3.41666666666667,3,0.333333333333333,0.666666666666667,0.333333333333333,0.166666666666667
211,211,2,2,1,100,0,4,9,13,18,22,27,31,36,40,1.06382978723404,0.5,0.5,1,1,0.973776094557781,1.15406248045027,0.12,0.3,0.5,0.7,0.9,0.117021276595745,0.208510638297872,0.776595744680851,0.925531914893617,0.98936170212766,-94,-70.5,-47,-23.5,0,25,50,75,100,12,30,50,70,90,-11,-19.6,-73,-87,-93,40.06,40.06,-49.47,-3.41,0.956639233551291,0.0453261427379923,0.837515305561679,0.591740513438945,0.689929922472984,1.77874113329231,20,Male,89,189,1,35,3,24.9153159206069,2.91666666666667,2,0.833333333333333,0.5,0.666666666666667,0.333333333333333
212,212,1,1,3,100,0,0,0,0,0,0,0,0,0,100,2.24719101123595,0.814527809965238,0.585731576116192,0.261203021513738,0.614837349561339,0.824162430918677,0.666456148267043,0.482835820895522,0.756269323256613,0.782377189969083,0.826760563380282,0.861851597389213,0.435333333333333,0.375333333333333,0.53517877739331,0.612456747404844,0.746251441753172,-185.9,-142,-55.3,-17.8,0,40,107,270.5,1726,102.4,307,459,717.4,921.7,-45.6,-36.6,-67.5,-94.3,-140.7,783,837.03,-95.8,-90,0.998950410448461,0.00105069234724886,0.984901457544309,0.997188691384285,0.00281923435354248,1.01636121406407,20,Male,30,202,1,40,2,7.35222037055191,2.41666666666667,3,0.666666666666667,0.333333333333333,0.5,0.833333333333333
217,217,1,1,3,100,0,0,0,0,0,0,0,0,0,100,8.33333333333333,0.538079470198675,0.477150537634409,0.818922143154153,1.11238439275966,0.569021728887373,4.51396830834328,0.259765625,0.375,0.376953125,0.542763157894737,0.641447368421053,0.166666666666667,0.277777777777778,0.25,0.216666666666667,0.636363636363636,-9.3,-7,-4.8,-3,0,25,153,229,302,30,89,90,166,196,-2,-3.2,-3,-2.6,-6,147.28,147.28,-5,-3.65,0.997053554139382,0.00295515305911609,0.988266203573368,0.933833388754084,0.0708548356085177,1.16820527520929,19,Female,60,100,5,14,2,60,3.16666666666667,1,0.666666666666667,0.5,1,0.5
218,218,2,2,2,90,10,12,14,17,19,21,23,26,28,30,1.20588235294118,0.658390410958904,0.653089887640449,0.552884111538156,0.551650292159486,0.800594811860263,0.857058108266432,0.846820809248555,0.919075144508671,0.954913294797688,0.809248554913295,0.947976878612717,0.505198487712665,0.466446124763705,0.561909262759924,0.803443794671865,0.990740740740741,-293.7,-139.8,-86.9,-34,0,41,93,119,292,186,236,260.8,160,256,-88,-79.8,-100,-172.7,-288,105.6,123.5,-152.44,-152.44,0.991618929561151,0.00845190646225191,0.793903692324657,1.00237377031253,-0.00236814887104864,1.00952894349761,21,Male,63,172,0,2,2,21.295294753921,4.16666666666667,1,,,,
220,220,1,1,3,100,0,0,0,0,0,0,0,0,0,100,3.61538461538462,0.553030303030303,0.348214285714286,0.816277681348588,1.88726952802689,0.627156686984984,3.86597580469173,0.557692307692308,0.274193548387097,0.483870967741935,0.548076923076923,0.786764705882353,0.15,0.230769230769231,0.192307692307692,0.333333333333333,0.65625,-14,-13.5,-9.5,-6.5,0,23.5,39,65,99,45,25,38,44,70,-3.9,-6,-5,-7.5,-12,48.95,48.95,-7,-7,0.998233771886489,0.00176935319486637,0.992953782886752,1,0,1,19,Female,55,170,0,2,3,19.0311418685121,3.83333333333333,2,0.5,0.666666666666667,0.333333333333333,0.833333333333333
226,226,2,1,3,50,0,0,0,0,0,0,0,0,0,200,3.85714285714286,0.502659574468085,0.640625,1.00308850683114,0.600184464036053,3.77141591450855,0.934926824656198,0.0925925925925926,0.231481481481481,0.391752577319588,0.365979381443299,0.430412371134021,0.0714285714285714,0.859375,0.796875,0.84375,0.96875,-24,-8,-7.5,-7,0,27,46.4,66.6,94,10,25,38,36,41,-2,-15,-11,-14,-22,49.47,25.97,-11.38,-11.38,0.861261709745622,0.161087261496107,1.23103568920087,0.997603929789945,0.00240182515175058,0.990450111082634,21,Female,74,173,0,0,2,24.7251829329413,3,2,0.5,0,0.5,0.333333333333333
228,228,2,2,2,100,10,12,14,17,19,21,23,26,28,30,2.64705882352941,0.621296296296296,0.397727272727273,0.628296194878801,1.60481706420225,0.765030852031847,13.3470806739795,0.283783783783784,0.569230769230769,0.704615384615385,0.684615384615385,0.742307692307692,0.241176470588235,0.0955882352941176,0.3125,0.169117647058824,0.247058823529412,-37.4,-30.6,-23.8,-17,0,45,82,147,270,50,100,135.2,130,145,-16.4,-6.5,-18.7,-11.5,-16.8,131.78,131.78,-18.7,-18.7,0.996455841071048,0.00355676466820931,0.985898552743446,1,0,1,18,Female,68,169,0,5,3,23.8086901719128,3,2,0.5,0.5,0.333333333333333,0.5
