Subj;TSC1;TSC2;TSC3;TSC4;TSC5;TSC6;TSC7;TSC8;TSC9;TSC10;TSC11;TSC12;TSC13;CRT1;CRT2;CRT3;PQ1;PQ2;PQ3;PQ4;PQ5;PQ6;PQ7;PQ8;PQ9;PQ10;PQ11;PQ12;PQ13;PQ14;PQ15;PQ16;PQ17;PQ18;PQ19;PQ20;PQ21;PQ22;PQ23;PQ24
12;4;2;3;5;4;2;1;4;3;1;5;1;2;5;5;47;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;1
9;3;2;2;4;3;3;2;3;4;4;3;2;4;5;100;47;2;1;2;1;1;2;1;2;1;2;1;2;1;2;2;1;1;1;2;1;2;1;1;1
2;4;2;1;1;2;3;3;3;2;2;4;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;3;3;1;2;4;3;4;2;3;4;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4;3;2;3;4;3;2;2;4;2;4;2;3;10;100;24;2;1;2;1;2;2;2;2;1;2;1;2;2;2;1;2;1;1;2;1;2;2;1;1
4;3;5;4;2;5;4;5;2;4;1;5;2;1;5;5;47;2;2;1;2;1;2;2;2;1;1;1;2;2;1;2;2;1;1;2;2;2;2;1;2
69;4;1;2;3;4;4;2;4;2;5;5;1;1;10;100;24;2;1;1;1;2;1;2;1;2;2;1;2;2;1;2;2;1;2;2;2;2;2;2;1
55;3;4;3;2;4;2;5;1;4;4;4;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;3;3;3;4;4;4;2;4;2;1;5;2;2;10;5;47;2;1;1;1;1;2;1;2;1;2;1;2;2;1;2;2;1;1;2;2;2;2;1;1
78;3;4;4;2;4;3;3;2;4;1;4;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;4;2;2;3;4;4;2;4;2;1;4;3;2;10;100;47;1;1;1;1;1;2;2;2;2;1;1;1;2;2;1;1;1;2;1;2;2;2;2;1
53;2;2;3;1;3;4;4;3;4;3;4;2;1;5;5;47;2;1;1;1;2;2;2;1;2;2;2;1;2;1;1;1;1;1;1;2;2;2;1;1
62;4;4;3;2;4;4;1;3;4;3;5;2;3;10;100;12;2;1;2;1;2;2;1;2;1;2;2;2;2;1;1;2;1;1;2;1;2;2;1;1
47;4;3;2;3;4;2;3;2;4;1;2;3;1;5;5;47;1;1;1;1;1;2;1;1;1;2;1;2;2;1;2;2;1;1;2;1;2;2;2;1
37;5;2;2;3;4;2;2;4;3;2;4;3;3;5;100;24;1;2;2;1;1;2;1;2;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;2
54;4;3;2;3;2;4;3;3;4;3;4;3;2;10;100;36;2;1;1;1;1;2;2;2;2;2;1;2;2;1;2;1;1;1;2;2;2;2;2;1
32;3;2;1;2;2;3;3;2;3;1;3;2;2;5;5;47;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;1;1
29;3;2;1;4;4;1;2;4;2;2;4;4;3;5;5;47;2;1;1;1;2;1;2;1;1;1;1;1;2;1;1;2;2;1;2;2;2;2;2;1
46;3;2;4;2;3;3;1;2;2;3;4;3;2;5;5;47;2;2;1;1;2;2;1;2;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;1
39;4;2;3;4;3;4;3;4;3;4;5;4;1;10;100;24;1;1;1;1;1;2;1;2;1;1;2;1;2;1;1;2;1;1;2;1;2;2;1;1
38;5;2;5;3;4;2;2;4;4;1;4;2;2;5;100;47;;;;;;;;;;;;;;;;;;;;;;;;
21;3;4;2;3;4;3;4;3;3;1;4;4;1;5;5;47;1;2;1;1;1;2;1;2;1;2;1;2;2;2;2;1;1;1;2;1;1;2;1;1
30;5;4;3;4;2;3;2;3;4;2;3;4;4;5;5;47;1;2;1;1;1;2;1;2;1;1;1;1;2;1;1;1;2;1;1;1;1;2;2;1
13;3;4;2;2;3;1;3;2;4;3;4;4;2;10;5;47;2;1;2;1;1;1;1;1;1;2;1;2;2;1;2;2;1;1;2;2;2;2;2;1
23;3;3;3;1;4;2;4;3;4;2;3;4;2;10;100;47;1;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;1;2;2;2;1;2;1;1
22;2;3;2;4;5;2;3;2;3;5;4;2;3;5;20;12;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;2;1;2;2;1;2;2;1;1
14;2;3;3;5;5;2;4;2;4;3;3;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;2;4;4;2;4;2;4;2;5;3;3;2;1;10;100;47;2;1;1;1;2;2;1;1;1;1;2;2;1;2;2;1;1;2;1;2;2;1;1;1
15;3;2;2;3;3;3;3;2;4;4;2;1;3;5;100;8;1;1;1;1;;2;2;2;2;;1;2;2;;1;2;1;1;;1;2;2;2;1
6;4;2;2;3;2;3;2;4;3;2;4;2;2;5;100;36;1;1;1;1;2;2;2;2;1;1;1;1;2;2;1;2;1;1;1;1;2;2;1;1
8;5;1;2;3;4;3;2;3;4;3;4;4;4;0;5;12;2;1;1;1;1;2;1;2;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;1
5;3;2;1;2;4;2;4;2;3;2;4;3;2;10;100;47;1;1;1;1;2;2;2;2;1;1;1;2;2;2;2;1;1;1;2;1;2;2;1;1
7;4;1;1;1;3;4;2;3;4;1;3;4;4;5;5;47;2;1;2;1;2;2;2;1;1;2;1;2;2;1;2;2;2;1;2;1;2;2;2;1
108;4;3;3;2;3;4;2;3;3;3;5;3;2;10;5;47;1;2;1;1;2;1;2;1;1;2;1;1;2;2;2;1;1;1;1;2;2;1;2;1
